"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien"
1,PAG, PostAuto Schweiz AG,PostAuto,739472,"1",Bus - Überland/Berg,571
2,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,282461,"2",Bus - Agglomeration,15
3,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,81797,"4",Bahn - Überland/Regionalverkehr,98
4,BOS, BUS Ostschweiz AG,BUS Ostschweiz,64428,"1",Bus - Überland/Berg,40
5,VMCV, VMCV SA,Bus Montreux,62409,"1",Bus - Überland/Berg,4
6,TPG, Transports publics genevois (TPG),Bus Genf,52282,"2",Bus - Agglomeration,18
7,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,45876,"1",Bus - Überland/Berg,9
8,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,41523,"2",Bus - Agglomeration,33
9,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,39080,"2",Bus - Agglomeration,24
10,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,33394,"1",Bus - Überland/Berg,10
11,VBZ, Stadt Zürich,Bus Zürich,33298,"1",Bus - Überland/Berg,18
12,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,29496,"3",Bahn - Überland/Berg,9
13,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,29282,"2",Bus - Agglomeration,12
14,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,28173,"2",Bus - Agglomeration,22
15,VBD, Landschaft Davos,Bus Davos,25115,"1",Bus - Überland/Berg,3
16,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,24784,"1",Bus - Überland/Berg,9
17,BLAG, Busland AG,Busland,24332,"1",Bus - Überland/Berg,20
18,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,21904,"3",Bahn - Überland/Berg,7
19,VBSH, Stadt Schaffhausen,Bus Schaffhausen,21133,"1",Bus - Überland/Berg,7
20,VB, Verkehrsbetriebe Biel,Bus Biel,20601,"1",Bus - Überland/Berg,11
21,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,20412,"1",Bus - Überland/Berg,21
22,BLT, BLT Baselland Transport AG,Bus Baselland,19020,"1",Bus - Überland/Berg,17
23,TPF, Transports publics fribourgeois SA,Bus Fribourg,18929,"1",Bus - Überland/Berg,58
24,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,17591,"1",Bus - Überland/Berg,22
25,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,16859,"1",Bus - Überland/Berg,8
26,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,16851,"1",Bus - Überland/Berg,2
27,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,16378,"1",Bus - Überland/Berg,24
28,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,16220,"1",Bus - Überland/Berg,9
29,VBSG, Stadt St. Gallen,Bus St.Gallen,15025,"2",Bus - Agglomeration,15
