"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","ausfall_grund"
1,PAG, PostAuto Schweiz AG,PostAuto,675460,"1",Bus - Überland/Berg,570,Keine Daten
2,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,255558,"2",Bus - Agglomeration,15,Keine Daten
3,VMCV, VMCV SA,Bus Montreux,62465,"1",Bus - Überland/Berg,3,Keine Daten
4,BOS, BUS Ostschweiz AG,BUS Ostschweiz,52942,"1",Bus - Überland/Berg,40,Keine Daten
5,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,46275,"4",Bahn - Überland/Regionalverkehr,98,Ausfall ganze Fahrt
6,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,43901,"1",Bus - Überland/Berg,9,Keine Daten
7,PAG, PostAuto Schweiz AG,PostAuto,34604,"1",Bus - Überland/Berg,453,Status Unbekannt Teilstrecke
8,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,29454,"2",Bus - Agglomeration,24,Keine Daten
9,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,29014,"2",Bus - Agglomeration,12,Keine Daten
10,VBD, Landschaft Davos,Bus Davos,25275,"1",Bus - Überland/Berg,3,Keine Daten
11,BLAG, Busland AG,Busland,23361,"1",Bus - Überland/Berg,20,Keine Daten
12,PAG, PostAuto Schweiz AG,PostAuto,21837,"1",Bus - Überland/Berg,402,Ausfall ganze Fahrt
13,VBZ, Stadt Zürich,Bus Zürich,21297,"1",Bus - Überland/Berg,18,Ausfall ganze Fahrt
14,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,20915,"1",Bus - Überland/Berg,10,Status Unbekannt Teilstrecke
15,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,20125,"3",Bahn - Überland/Berg,7,Status Unbekannt
16,VB, Verkehrsbetriebe Biel,Bus Biel,19892,"1",Bus - Überland/Berg,11,Keine Daten
17,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,18977,"4",Bahn - Überland/Regionalverkehr,86,Status Unbekannt Teilstrecke
18,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,18178,"2",Bus - Agglomeration,33,Keine Daten
