"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","tag"
1,PAG, PostAuto Schweiz AG,PostAuto,123076,"1",Bus - Überland/Berg,569,Dienstag
2,PAG, PostAuto Schweiz AG,PostAuto,122204,"1",Bus - Überland/Berg,567,Donnerstag
3,PAG, PostAuto Schweiz AG,PostAuto,121827,"1",Bus - Überland/Berg,560,Freitag
4,PAG, PostAuto Schweiz AG,PostAuto,108893,"1",Bus - Überland/Berg,568,Montag
5,PAG, PostAuto Schweiz AG,PostAuto,108824,"1",Bus - Überland/Berg,527,Mittwoch
6,PAG, PostAuto Schweiz AG,PostAuto,82546,"1",Bus - Überland/Berg,465,Samstag
7,PAG, PostAuto Schweiz AG,PostAuto,72528,"1",Bus - Überland/Berg,486,Sonntag
8,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,45133,"2",Bus - Agglomeration,15,Donnerstag
9,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,44703,"2",Bus - Agglomeration,15,Freitag
10,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,44277,"2",Bus - Agglomeration,14,Dienstag
11,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,42467,"2",Bus - Agglomeration,15,Montag
12,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,40489,"2",Bus - Agglomeration,15,Mittwoch
13,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,37801,"2",Bus - Agglomeration,13,Samstag
14,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,29633,"2",Bus - Agglomeration,13,Sonntag
15,TPG, Transports publics genevois (TPG),Bus Genf,14127,"2",Bus - Agglomeration,18,Donnerstag
16,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,13189,"4",Bahn - Überland/Regionalverkehr,97,Donnerstag
17,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,13148,"2",Bus - Agglomeration,33,Dienstag
18,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,12754,"4",Bahn - Überland/Regionalverkehr,97,Dienstag
19,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,12417,"4",Bahn - Überland/Regionalverkehr,90,Samstag
20,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,12089,"4",Bahn - Überland/Regionalverkehr,88,Sonntag
21,BOS, BUS Ostschweiz AG,BUS Ostschweiz,11799,"1",Bus - Überland/Berg,38,Dienstag
22,BOS, BUS Ostschweiz AG,BUS Ostschweiz,11614,"1",Bus - Überland/Berg,40,Montag
23,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,10797,"4",Bahn - Überland/Regionalverkehr,96,Mittwoch
24,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,10693,"4",Bahn - Überland/Regionalverkehr,97,Freitag
25,BOS, BUS Ostschweiz AG,BUS Ostschweiz,10537,"1",Bus - Überland/Berg,40,Freitag
26,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,10458,"4",Bahn - Überland/Regionalverkehr,96,Montag
27,BOS, BUS Ostschweiz AG,BUS Ostschweiz,10013,"1",Bus - Überland/Berg,40,Mittwoch
28,BOS, BUS Ostschweiz AG,BUS Ostschweiz,9895,"1",Bus - Überland/Berg,39,Donnerstag
