"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","anzahl_minuten"
1,PAG, PostAuto Schweiz AG,PostAuto,341812,"1",Bus - Überland/Berg,471,"15-30 Minuten"
2,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,198945,"2",Bus - Agglomeration,12,"15-30 Minuten"
3,PAG, PostAuto Schweiz AG,PostAuto,185689,"1",Bus - Überland/Berg,520,"5-15 Minuten"
4,PAG, PostAuto Schweiz AG,PostAuto,157707,"1",Bus - Überland/Berg,249,"30-60 Minuten"
5,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,65765,"2",Bus - Agglomeration,13,"5-15 Minuten"
6,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,47237,"4",Bahn - Überland/Regionalverkehr,81,"30-60 Minuten"
7,PAG, PostAuto Schweiz AG,PostAuto,44263,"1",Bus - Überland/Berg,462,Unter 5 Minuten
8,VMCV, VMCV SA,Bus Montreux,41791,"1",Bus - Überland/Berg,3,"30-60 Minuten"
9,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,35386,"1",Bus - Überland/Berg,8,"15-30 Minuten"
10,TPG, Transports publics genevois (TPG),Bus Genf,29138,"2",Bus - Agglomeration,17,"30-60 Minuten"
11,BOS, BUS Ostschweiz AG,BUS Ostschweiz,27779,"1",Bus - Überland/Berg,30,"15-30 Minuten"
12,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,25215,"1",Bus - Überland/Berg,9,"15-30 Minuten"
13,BOS, BUS Ostschweiz AG,BUS Ostschweiz,24374,"1",Bus - Überland/Berg,27,"5-15 Minuten"
14,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,23331,"2",Bus - Agglomeration,11,"15-30 Minuten"
15,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,20054,"2",Bus - Agglomeration,22,"5-15 Minuten"
16,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,17334,"3",Bahn - Überland/Berg,5,"5-15 Minuten"
17,VBZ, Stadt Zürich,Bus Zürich,17274,"1",Bus - Überland/Berg,13,"15-30 Minuten"
18,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,16920,"4",Bahn - Überland/Regionalverkehr,60,"60+ Minuten"
19,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,16741,"3",Bahn - Überland/Berg,9,"15-30 Minuten"
20,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,16711,"2",Bus - Agglomeration,30,"5-15 Minuten"
21,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,15484,"2",Bus - Agglomeration,9,"30-60 Minuten"
22,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,14713,"2",Bus - Agglomeration,22,"5-15 Minuten"
23,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,14586,"2",Bus - Agglomeration,23,"15-30 Minuten"
24,VBSH, Stadt Schaffhausen,Bus Schaffhausen,13952,"1",Bus - Überland/Berg,7,"5-15 Minuten"
25,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,13752,"4",Bahn - Überland/Regionalverkehr,83,"15-30 Minuten"
26,VMCV, VMCV SA,Bus Montreux,13684,"1",Bus - Überland/Berg,3,"15-30 Minuten"
27,VB, Verkehrsbetriebe Biel,Bus Biel,13410,"1",Bus - Überland/Berg,9,"15-30 Minuten"
28,VBD, Landschaft Davos,Bus Davos,13187,"1",Bus - Überland/Berg,3,"5-15 Minuten"
29,BLAG, Busland AG,Busland,11991,"1",Bus - Überland/Berg,19,"5-15 Minuten"
