"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","anzahl_halte"
1,PAG, PostAuto Schweiz AG,PostAuto,462150,"1",Bus - Überland/Berg,492,"1-2 Haltestellen"
2,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,191848,"2",Bus - Agglomeration,10,"14-21 Haltestellen"
3,PAG, PostAuto Schweiz AG,PostAuto,86045,"1",Bus - Überland/Berg,336,"14-21 Haltestellen"
4,PAG, PostAuto Schweiz AG,PostAuto,85793,"1",Bus - Überland/Berg,446,"7-13 Haltestellen"
5,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,67607,"2",Bus - Agglomeration,14,"7-13 Haltestellen"
6,PAG, PostAuto Schweiz AG,PostAuto,57171,"1",Bus - Überland/Berg,476,"3-6 Haltestellen"
7,PAG, PostAuto Schweiz AG,PostAuto,46947,"1",Bus - Überland/Berg,166,"22-39 Haltestellen"
8,VMCV, VMCV SA,Bus Montreux,45385,"1",Bus - Überland/Berg,1,"40+ Haltestellen"
9,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,36063,"4",Bahn - Überland/Regionalverkehr,86,"7-13 Haltestellen"
10,TPG, Transports publics genevois (TPG),Bus Genf,34566,"2",Bus - Agglomeration,17,"22-39 Haltestellen"
11,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,29771,"4",Bahn - Überland/Regionalverkehr,84,"3-6 Haltestellen"
12,BOS, BUS Ostschweiz AG,BUS Ostschweiz,24713,"1",Bus - Überland/Berg,27,"7-13 Haltestellen"
13,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,22793,"2",Bus - Agglomeration,9,"14-21 Haltestellen"
14,VBD, Landschaft Davos,Bus Davos,22379,"1",Bus - Überland/Berg,3,"7-13 Haltestellen"
15,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,19782,"1",Bus - Überland/Berg,10,"3-6 Haltestellen"
16,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,17568,"1",Bus - Überland/Berg,7,"7-13 Haltestellen"
17,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,17516,"3",Bahn - Überland/Berg,5,"3-6 Haltestellen"
18,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,16874,"2",Bus - Agglomeration,30,"7-13 Haltestellen"
19,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,16534,"2",Bus - Agglomeration,7,"22-39 Haltestellen"
