"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","zeit"
1,PAG, PostAuto Schweiz AG,PostAuto,174194,"1",Bus - Überland/Berg,567,"13:00 - 17:00"
2,PAG, PostAuto Schweiz AG,PostAuto,166316,"1",Bus - Überland/Berg,567,"17:00 - 21:00"
3,PAG, PostAuto Schweiz AG,PostAuto,162969,"1",Bus - Überland/Berg,567,"05:00 - 09:00"
4,PAG, PostAuto Schweiz AG,PostAuto,161664,"1",Bus - Überland/Berg,559,"09:00 - 13:00"
5,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,67661,"2",Bus - Agglomeration,15,"17:00 - 21:00"
6,PAG, PostAuto Schweiz AG,PostAuto,65746,"1",Bus - Überland/Berg,282,"21:00 - 01:00"
7,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,63100,"2",Bus - Agglomeration,15,"13:00 - 17:00"
8,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,63028,"2",Bus - Agglomeration,15,"05:00 - 09:00"
9,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,55003,"2",Bus - Agglomeration,14,"09:00 - 13:00"
10,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,34723,"2",Bus - Agglomeration,12,"21:00 - 01:00"
11,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,18233,"4",Bahn - Überland/Regionalverkehr,97,"05:00 - 09:00"
12,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,18169,"4",Bahn - Überland/Regionalverkehr,97,"17:00 - 21:00"
13,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,16995,"4",Bahn - Überland/Regionalverkehr,94,"09:00 - 13:00"
14,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,16974,"4",Bahn - Überland/Regionalverkehr,98,"13:00 - 17:00"
15,VMCV, VMCV SA,Bus Montreux,14642,"1",Bus - Überland/Berg,4,"13:00 - 17:00"
16,BOS, BUS Ostschweiz AG,BUS Ostschweiz,13957,"1",Bus - Überland/Berg,39,"09:00 - 13:00"
17,TPG, Transports publics genevois (TPG),Bus Genf,13890,"2",Bus - Agglomeration,18,"05:00 - 09:00"
18,VMCV, VMCV SA,Bus Montreux,13806,"1",Bus - Überland/Berg,4,"17:00 - 21:00"
19,VMCV, VMCV SA,Bus Montreux,13579,"1",Bus - Überland/Berg,4,"05:00 - 09:00"
20,BOS, BUS Ostschweiz AG,BUS Ostschweiz,13229,"1",Bus - Überland/Berg,40,"05:00 - 09:00"
21,VMCV, VMCV SA,Bus Montreux,13223,"1",Bus - Überland/Berg,4,"09:00 - 13:00"
22,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,12633,"1",Bus - Überland/Berg,9,"17:00 - 21:00"
23,BOS, BUS Ostschweiz AG,BUS Ostschweiz,12529,"1",Bus - Überland/Berg,40,"13:00 - 17:00"
24,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,12512,"1",Bus - Überland/Berg,9,"05:00 - 09:00"
25,BOS, BUS Ostschweiz AG,BUS Ostschweiz,12339,"1",Bus - Überland/Berg,39,"17:00 - 21:00"
26,TPG, Transports publics genevois (TPG),Bus Genf,12280,"2",Bus - Agglomeration,18,"17:00 - 21:00"
27,BOS, BUS Ostschweiz AG,BUS Ostschweiz,11865,"1",Bus - Überland/Berg,22,"21:00 - 01:00"
28,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,11140,"4",Bahn - Überland/Regionalverkehr,88,"21:00 - 01:00"
29,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,10392,"2",Bus - Agglomeration,32,"09:00 - 13:00"
30,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,10331,"2",Bus - Agglomeration,32,"13:00 - 17:00"
31,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,10238,"1",Bus - Überland/Berg,9,"09:00 - 13:00"
32,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,10153,"1",Bus - Überland/Berg,9,"13:00 - 17:00"
33,TPG, Transports publics genevois (TPG),Bus Genf,10114,"2",Bus - Agglomeration,18,"13:00 - 17:00"
34,TPG, Transports publics genevois (TPG),Bus Genf,10032,"2",Bus - Agglomeration,18,"09:00 - 13:00"
35,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,9569,"2",Bus - Agglomeration,23,"13:00 - 17:00"
36,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,9357,"2",Bus - Agglomeration,23,"09:00 - 13:00"
37,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,9275,"2",Bus - Agglomeration,32,"05:00 - 09:00"
38,VBZ, Stadt Zürich,Bus Zürich,9237,"1",Bus - Überland/Berg,17,"09:00 - 13:00"
39,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,9152,"1",Bus - Überland/Berg,10,"05:00 - 09:00"
40,PAG, PostAuto Schweiz AG,PostAuto,8840,"1",Bus - Überland/Berg,102,"01:00 - 05:00"
41,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,8695,"2",Bus - Agglomeration,33,"17:00 - 21:00"
42,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,8683,"2",Bus - Agglomeration,24,"17:00 - 21:00"
43,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,8404,"2",Bus - Agglomeration,23,"05:00 - 09:00"
44,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,8247,"3",Bahn - Überland/Berg,9,"17:00 - 21:00"
45,VBD, Landschaft Davos,Bus Davos,8131,"1",Bus - Überland/Berg,3,"13:00 - 17:00"
46,VBD, Landschaft Davos,Bus Davos,7798,"1",Bus - Überland/Berg,3,"09:00 - 13:00"
47,VBZ, Stadt Zürich,Bus Zürich,7754,"1",Bus - Überland/Berg,18,"13:00 - 17:00"
48,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,7470,"1",Bus - Überland/Berg,10,"17:00 - 21:00"
49,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,7375,"3",Bahn - Überland/Berg,9,"13:00 - 17:00"
50,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,7364,"1",Bus - Überland/Berg,9,"17:00 - 21:00"
51,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,7324,"1",Bus - Überland/Berg,9,"13:00 - 17:00"
52,VMCV, VMCV SA,Bus Montreux,7227,"1",Bus - Überland/Berg,3,"21:00 - 01:00"
53,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,7069,"2",Bus - Agglomeration,21,"09:00 - 13:00"
54,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,6960,"1",Bus - Überland/Berg,10,"13:00 - 17:00"
55,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,6920,"2",Bus - Agglomeration,22,"13:00 - 17:00"
56,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,6608,"3",Bahn - Überland/Berg,7,"13:00 - 17:00"
57,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,6582,"2",Bus - Agglomeration,22,"05:00 - 09:00"
58,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,6512,"2",Bus - Agglomeration,12,"17:00 - 21:00"
59,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,6507,"2",Bus - Agglomeration,12,"13:00 - 17:00"
60,VBZ, Stadt Zürich,Bus Zürich,6496,"1",Bus - Überland/Berg,18,"17:00 - 21:00"
61,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,6466,"1",Bus - Überland/Berg,10,"09:00 - 13:00"
62,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,6318,"2",Bus - Agglomeration,12,"09:00 - 13:00"
63,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,6306,"2",Bus - Agglomeration,12,"05:00 - 09:00"
64,VBZ, Stadt Zürich,Bus Zürich,6301,"1",Bus - Überland/Berg,18,"05:00 - 09:00"
65,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,6065,"3",Bahn - Überland/Berg,9,"05:00 - 09:00"
66,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,5981,"2",Bus - Agglomeration,22,"17:00 - 21:00"
67,TPF, Transports publics fribourgeois SA,Bus Fribourg,5905,"1",Bus - Überland/Berg,58,"05:00 - 09:00"
68,BLAG, Busland AG,Busland,5320,"1",Bus - Überland/Berg,20,"09:00 - 13:00"
69,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,5282,"3",Bahn - Überland/Berg,7,"17:00 - 21:00"
70,BLT, BLT Baselland Transport AG,Bus Baselland,5266,"1",Bus - Überland/Berg,17,"13:00 - 17:00"
71,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,5249,"3",Bahn - Überland/Berg,9,"09:00 - 13:00"
72,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,5211,"1",Bus - Überland/Berg,18,"09:00 - 13:00"
73,BLAG, Busland AG,Busland,5187,"1",Bus - Überland/Berg,20,"05:00 - 09:00"
74,BLAG, Busland AG,Busland,5178,"1",Bus - Überland/Berg,20,"13:00 - 17:00"
75,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,5067,"1",Bus - Überland/Berg,22,"13:00 - 17:00"
76,VBD, Landschaft Davos,Bus Davos,4979,"1",Bus - Überland/Berg,3,"17:00 - 21:00"
77,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,4938,"1",Bus - Überland/Berg,2,"17:00 - 21:00"
78,VBSH, Stadt Schaffhausen,Bus Schaffhausen,4871,"1",Bus - Überland/Berg,7,"05:00 - 09:00"
79,BLAG, Busland AG,Busland,4821,"1",Bus - Überland/Berg,20,"17:00 - 21:00"
80,TPG, Transports publics genevois (TPG),Bus Genf,4820,"2",Bus - Agglomeration,18,"21:00 - 01:00"
81,TPF, Transports publics fribourgeois SA,Bus Fribourg,4810,"1",Bus - Überland/Berg,58,"09:00 - 13:00"
82,VBSH, Stadt Schaffhausen,Bus Schaffhausen,4796,"1",Bus - Überland/Berg,7,"13:00 - 17:00"
83,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,4746,"1",Bus - Überland/Berg,24,"09:00 - 13:00"
84,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,4700,"1",Bus - Überland/Berg,21,"13:00 - 17:00"
85,VBSH, Stadt Schaffhausen,Bus Schaffhausen,4699,"1",Bus - Überland/Berg,7,"09:00 - 13:00"
86,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,4691,"1",Bus - Überland/Berg,21,"17:00 - 21:00"
87,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,4604,"1",Bus - Überland/Berg,2,"05:00 - 09:00"
88,VB, Verkehrsbetriebe Biel,Bus Biel,4588,"1",Bus - Überland/Berg,11,"13:00 - 17:00"
89,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,4577,"3",Bahn - Überland/Berg,7,"09:00 - 13:00"
90,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,4552,"1",Bus - Überland/Berg,21,"09:00 - 13:00"
91,BLT, BLT Baselland Transport AG,Bus Baselland,4509,"1",Bus - Überland/Berg,17,"17:00 - 21:00"
92,VB, Verkehrsbetriebe Biel,Bus Biel,4504,"1",Bus - Überland/Berg,11,"09:00 - 13:00"
93,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,4481,"3",Bahn - Überland/Berg,7,"05:00 - 09:00"
94,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,4448,"1",Bus - Überland/Berg,9,"09:00 - 13:00"
95,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,4339,"1",Bus - Überland/Berg,4,"17:00 - 21:00"
96,VBSH, Stadt Schaffhausen,Bus Schaffhausen,4332,"1",Bus - Überland/Berg,7,"17:00 - 21:00"
97,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,4320,"1",Bus - Überland/Berg,24,"05:00 - 09:00"
98,VBD, Landschaft Davos,Bus Davos,4311,"1",Bus - Überland/Berg,3,"05:00 - 09:00"
99,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,4198,"1",Bus - Überland/Berg,9,"05:00 - 09:00"
100,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,4178,"1",Bus - Überland/Berg,22,"05:00 - 09:00"
101,VBSG, Stadt St. Gallen,Bus St.Gallen,4172,"2",Bus - Agglomeration,15,"05:00 - 09:00"
102,BLT, BLT Baselland Transport AG,Bus Baselland,3985,"1",Bus - Überland/Berg,17,"05:00 - 09:00"
103,VB, Verkehrsbetriebe Biel,Bus Biel,3975,"1",Bus - Überland/Berg,11,"05:00 - 09:00"
104,VB, Verkehrsbetriebe Biel,Bus Biel,3902,"1",Bus - Überland/Berg,11,"17:00 - 21:00"
105,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,3877,"1",Bus - Überland/Berg,8,"17:00 - 21:00"
106,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,3852,"1",Bus - Überland/Berg,9,"09:00 - 13:00"
107,BLAG, Busland AG,Busland,3849,"1",Bus - Überland/Berg,12,"21:00 - 01:00"
108,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,3825,"1",Bus - Überland/Berg,8,"05:00 - 09:00"
109,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,3782,"2",Bus - Agglomeration,10,"21:00 - 01:00"
110,VB, Verkehrsbetriebe Biel,Bus Biel,3767,"1",Bus - Überland/Berg,11,"21:00 - 01:00"
111,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,3759,"1",Bus - Überland/Berg,22,"17:00 - 21:00"
112,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,3757,"1",Bus - Überland/Berg,24,"13:00 - 17:00"
113,TPF, Transports publics fribourgeois SA,Bus Fribourg,3728,"1",Bus - Überland/Berg,58,"13:00 - 17:00"
114,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,3629,"1",Bus - Überland/Berg,2,"13:00 - 17:00"
115,VBSG, Stadt St. Gallen,Bus St.Gallen,3574,"2",Bus - Agglomeration,15,"09:00 - 13:00"
116,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,3555,"1",Bus - Überland/Berg,10,"21:00 - 01:00"
117,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,3554,"1",Bus - Überland/Berg,8,"13:00 - 17:00"
118,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,3540,"1",Bus - Überland/Berg,4,"13:00 - 17:00"
119,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,3528,"1",Bus - Überland/Berg,8,"09:00 - 13:00"
120,VBZ, Stadt Zürich,Bus Zürich,3515,"1",Bus - Überland/Berg,14,"21:00 - 01:00"
121,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,3500,"1",Bus - Überland/Berg,9,"05:00 - 09:00"
122,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,3495,"1",Bus - Überland/Berg,9,"13:00 - 17:00"
123,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,3313,"1",Bus - Überland/Berg,1,"05:00 - 09:00"
124,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,3266,"2",Bus - Agglomeration,13,"13:00 - 17:00"
125,VBSG, Stadt St. Gallen,Bus St.Gallen,3257,"2",Bus - Agglomeration,15,"13:00 - 17:00"
126,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,3196,"1",Bus - Überland/Berg,21,"05:00 - 09:00"
127,TPC, Transports Publics du Chablais SA,Bus Chablais ,3182,"1",Bus - Überland/Berg,10,"13:00 - 17:00"
128,BLT, BLT Baselland Transport AG,Bus Baselland,3165,"1",Bus - Überland/Berg,15,"09:00 - 13:00"
129,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,3143,"2",Bus - Agglomeration,17,"21:00 - 01:00"
130,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,3133,"1",Bus - Überland/Berg,1,"13:00 - 17:00"
131,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,3111,"1",Bus - Überland/Berg,1,"09:00 - 13:00"
132,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,3105,"2",Bus - Agglomeration,13,"09:00 - 13:00"
133,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,3079,"1",Bus - Überland/Berg,9,"17:00 - 21:00"
134,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,3038,"2",Bus - Agglomeration,13,"05:00 - 09:00"
135,BuS, Bus und Service AG,BuS AG,3005,"1",Bus - Überland/Berg,4,"17:00 - 21:00"
136,TPF, Transports publics fribourgeois SA,Bus Fribourg,2945,"1",Bus - Überland/Berg,58,"17:00 - 21:00"
137,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,2919,"1",Bus - Überland/Berg,2,"09:00 - 13:00"
138,BuS, Bus und Service AG,BuS AG,2872,"1",Bus - Überland/Berg,4,"13:00 - 17:00"
139,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,2844,"2",Bus - Agglomeration,13,"17:00 - 21:00"
140,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,2843,"2",Bus - Agglomeration,25,"21:00 - 01:00"
141,AAGR, Auto AG Rothenburg,Bus Rothenburg,2824,"2",Bus - Agglomeration,4,"13:00 - 17:00"
142,VBSG, Stadt St. Gallen,Bus St.Gallen,2817,"2",Bus - Agglomeration,15,"17:00 - 21:00"
143,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,2808,"1",Bus - Überland/Berg,7,"09:00 - 13:00"
144,AAGR, Auto AG Rothenburg,Bus Rothenburg,2807,"2",Bus - Agglomeration,4,"17:00 - 21:00"
145,RA, REGIONALPS SA ,Regionalps,2759,"4",Bahn - Überland/Regionalverkehr,4,"05:00 - 09:00"
146,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,2689,"1",Bus - Überland/Berg,7,"13:00 - 17:00"
147,TPC, Transports Publics du Chablais SA,Bus Chablais ,2632,"1",Bus - Überland/Berg,10,"09:00 - 13:00"
148,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,2600,"1",Bus - Überland/Berg,8,"09:00 - 13:00"
149,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,2598,"3",Bahn - Überland/Berg,1,"13:00 - 17:00"
150,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,2597,"1",Bus - Überland/Berg,15,"21:00 - 01:00"
151,AVA, Aargau Verkehr AG,Bus Aargau,2592,"1",Bus - Überland/Berg,10,"21:00 - 01:00"
152,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,2556,"1",Bus - Überland/Berg,24,"17:00 - 21:00"
153,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,2553,"4",Bahn - Überland/Regionalverkehr,31,"17:00 - 21:00"
154,AAGR, Auto AG Rothenburg,Bus Rothenburg,2544,"2",Bus - Agglomeration,4,"09:00 - 13:00"
155,BuS, Bus und Service AG,BuS AG,2533,"1",Bus - Überland/Berg,4,"09:00 - 13:00"
156,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,2528,"1",Bus - Überland/Berg,8,"13:00 - 17:00"
157,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,2500,"3",Bahn - Überland/Berg,1,"17:00 - 21:00"
158,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,2487,"3",Bahn - Überland/Berg,4,"21:00 - 01:00"
159,TPC, Transports Publics du Chablais SA,Bus Chablais ,2457,"1",Bus - Überland/Berg,10,"17:00 - 21:00"
160,RA, REGIONALPS SA ,Regionalps,2412,"4",Bahn - Überland/Regionalverkehr,4,"17:00 - 21:00"
161,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,2399,"1",Bus - Überland/Berg,8,"17:00 - 21:00"
162,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,2367,"1",Bus - Überland/Berg,4,"17:00 - 21:00"
163,AAGS, Auto AG Schwyz,Bus Schwyz,2360,"1",Bus - Überland/Berg,11,"13:00 - 17:00"
164,AAGS, Auto AG Schwyz,Bus Schwyz,2323,"1",Bus - Überland/Berg,11,"05:00 - 09:00"
165,VBSH, Stadt Schaffhausen,Bus Schaffhausen,2323,"1",Bus - Überland/Berg,7,"21:00 - 01:00"
